inventory_id,actor,alias,category,svg_file,gif_file,preview_file,pixel_count
INV-1785654343599-31,AMBER,SM-6標準六型飛彈,airDefense,svg/amber_sm6.svg,gif/amber_sm6.gif,preview_8x/amber_sm6.png,64
INV-1785654343599-44,AMBER,前進支援機場,airport,svg/amber_forward_support_airfield.svg,gif/amber_forward_support_airfield.gif,preview_8x/amber_forward_support_airfield.png,60
INV-1785654343599-23,AMBER,F-35A Lightning II「閃電II」,aviation,svg/amber_f35a.svg,gif/amber_f35a.gif,preview_8x/amber_f35a.png,92
INV-1785654343599-24,AMBER,F/A-18E/F Super Hornet「超級大黃蜂」,aviation,svg/amber_fa18ef_super_hornet.svg,gif/amber_fa18ef_super_hornet.gif,preview_8x/amber_fa18ef_super_hornet.png,104
INV-1785654343599-46,AMBER,聯合支援基地,base,svg/amber_joint_support_base.svg,gif/amber_joint_support_base.gif,preview_8x/amber_joint_support_base.png,112
INV-1785654343599-33,AMBER,Starlink商用衛星通訊支援,communications,svg/amber_starlink_support.svg,gif/amber_starlink_support.gif,preview_8x/amber_starlink_support.png,67
INV-1785654343599-25,AMBER,E-2D Advanced Hawkeye,isr,svg/amber_e2d_hawkeye.svg,gif/amber_e2d_hawkeye.gif,preview_8x/amber_e2d_hawkeye.png,94
INV-1785654343599-28,AMBER,C-17 Globemaster III,logistics,svg/amber_c17_globemaster_iii.svg,gif/amber_c17_globemaster_iii.gif,preview_8x/amber_c17_globemaster_iii.png,100
INV-1785654343599-27,AMBER,KC-46A Pegasus「飛馬」,logistics,svg/amber_kc46a_pegasus.svg,gif/amber_kc46a_pegasus.gif,preview_8x/amber_kc46a_pegasus.png,91
INV-1785654343599-32,AMBER,Tomahawk「戰斧」巡弋飛彈,longRange,svg/amber_tomahawk.svg,gif/amber_tomahawk.gif,preview_8x/amber_tomahawk.png,73
INV-1785654343599-29,AMBER,Arleigh Burke級導彈驅逐艦,maritime,svg/amber_arleigh_burke_destroyer.svg,gif/amber_arleigh_burke_destroyer.gif,preview_8x/amber_arleigh_burke_destroyer.png,92
INV-1785654343599-48,AMBER,聯合防護陣地,position,svg/amber_joint_protection_position.svg,gif/amber_joint_protection_position.gif,preview_8x/amber_joint_protection_position.png,91
INV-1785654343599-47,AMBER,備援電力支援節點,powerPlant,svg/amber_backup_power_support.svg,gif/amber_backup_power_support.gif,preview_8x/amber_backup_power_support.png,76
INV-1785654343599-45,AMBER,遠程預警雷達站,radarStation,svg/amber_long_range_warning_radar.svg,gif/amber_long_range_warning_radar.gif,preview_8x/amber_long_range_warning_radar.png,78
INV-1785654343599-26,AMBER,P-8A Poseidon「海神」,subsurface,svg/amber_p8a_poseidon.svg,gif/amber_p8a_poseidon.gif,preview_8x/amber_p8a_poseidon.png,88
INV-1785654343599-30,AMBER,Virginia級攻擊核潛艦,subsurface,svg/amber_virginia_ssn.svg,gif/amber_virginia_ssn.gif,preview_8x/amber_virginia_ssn.png,67
INV-1785654343599-8,BLUE,天劍二型空對空飛彈／TC-2,airDefense,svg/blue_tc2.svg,gif/blue_tc2.gif,preview_8x/blue_tc2.png,64
INV-1785654343599-9,BLUE,天弓三型防空飛彈,airDefense,svg/blue_sky_bow_iii.svg,gif/blue_sky_bow_iii.gif,preview_8x/blue_sky_bow_iii.png,66
INV-1785654343599-34,BLUE,北部航空基地群,airport,svg/blue_northern_airbase_group.svg,gif/blue_northern_airbase_group.gif,preview_8x/blue_northern_airbase_group.png,54
INV-1785654343599-1,BLUE,F-16V「Viper／毒蛇」,aviation,svg/blue_f16v.svg,gif/blue_f16v.gif,preview_8x/blue_f16v.png,78
