inventory_id,actor,alias,category,nominal,availability_pct,reserve_pct,consumption_per_action,recovery_per_turn,replenishment,delay_turns,reliability_pct,unit_effect,game_range_km,location_required,placement_id,placement_label,lat,lng,placement_nominal,placement_current,preset_id,source_url,source_checked_at,precision,is_live,is_user_modified,note
INV-1785654343599-1,BLUE,F-16V「Viper／毒蛇」,aviation,42,84,24,5,2,6,4,89,79,600,True,INV-1785654343599-1-P1,花蓮航空基地（公開設施中心點）,24.0237,121.6169,21.0,21.0,BLUE-HUALIEN,https://www.mnd.gov.tw/en/informationservices/publication/71953,2026-08-01,facility-centroid,False,False,多用途航空任務；參數為遊戲平衡值
INV-1785654343599-1,BLUE,F-16V「Viper／毒蛇」,aviation,42,84,24,5,2,6,4,89,79,600,True,INV-1785654343599-1-P2,嘉義航空基地（公開設施中心點）,23.4618,120.3928,21.0,21.0,BLUE-CHIAYI,https://www.mnd.gov.tw/File/41892,2026-08-01,facility-centroid,False,False,多用途航空任務；參數為遊戲平衡值
INV-1785654343599-2,BLUE,IDF／F-CK-1「經國號」,aviation,34,80,22,4,2,5,3,86,76,600,True,INV-1785654343599-2-P1,清泉崗航空基地（公開設施中心點）,24.2647,120.6206,17.0,17.0,BLUE-CCK,https://www.mnd.gov.tw/File/41892,2026-08-01,facility-centroid,False,False,航空攔截任務；參數為遊戲平衡值
INV-1785654343599-2,BLUE,IDF／F-CK-1「經國號」,aviation,34,80,22,4,2,5,3,86,76,600,True,INV-1785654343599-2-P2,臺南航空基地（公開設施中心點）,22.9504,120.2058,17.0,17.0,BLUE-TAINAN,https://www.mnd.gov.tw/File/41892,2026-08-01,facility-centroid,False,False,航空攔截任務；參數為遊戲平衡值
INV-1785654343599-3,BLUE,Mirage 2000-5「幻象2000-5」,aviation,20,76,28,4,1,3,5,85,81,600,True,INV-1785654343599-3-P1,新竹航空基地（公開設施中心點）,24.818,120.9394,20.0,20.0,BLUE-HSINCHU,https://www.mnd.gov.tw/File/41892,2026-08-01,facility-centroid,False,False,空優攔截任務；參數為遊戲平衡值
INV-1785654343599-4,BLUE,C-130H「力士型運輸機」,logistics,20,78,30,3,2,4,4,88,72,250,True,INV-1785654343599-4-P1,屏東航空基地（公開設施中心點）,22.6724,120.4617,20.0,20.0,BLUE-PINGTUNG,https://www.mnd.gov.tw/news/pressrelease/74884/656,2026-08-01,facility-centroid,False,False,空運與補給支援；參數為遊戲平衡值
INV-1785654343599-5,BLUE,E-2K「鷹眼預警機」,isr,12,82,35,2,1,2,5,90,77,500,True,INV-1785654343599-5-P1,屏東航空基地（公開設施中心點）,22.6724,120.4617,12.0,12.0,BLUE-PINGTUNG,https://www.mnd.gov.tw/news/pressrelease/74884/656,2026-08-01,facility-centroid,False,False,空中預警與感測；參數為遊戲平衡值
INV-1785654343599-6,BLUE,P-3C「獵戶座反潛巡邏機」,subsurface,16,77,30,3,1,3,4,87,75,250,True,INV-1785654343599-6-P1,屏東航空基地（公開設施中心點）,22.6724,120.4617,16.0,16.0,BLUE-PINGTUNG,https://www.mnd.gov.tw/news/pressrelease/74884/656,2026-08-01,facility-centroid,False,False,海上巡邏與水下警戒；參數為遊戲平衡值
INV-1785654343599-7,BLUE,雄風三型超音速反艦飛彈,maritime,48,88,32,6,1,8,5,91,77,300,True,INV-1785654343599-7-P1,高雄左營公開港區中心點,22.6997,120.2869,24.0,24.0,BLUE-ZUOYING,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,海上拒止資源；參數為遊戲平衡值
INV-1785654343599-7,BLUE,雄風三型超音速反艦飛彈,maritime,48,88,32,6,1,8,5,91,77,300,True,INV-1785654343599-7-P2,基隆公開港區中心點,25.1276,121.7392,24.0,24.0,BLUE-KEELUNG,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,海上拒止資源；參數為遊戲平衡值
